,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
253,Chris Quinn,73,0,593,57,163,21,74,36,89,12,16,5,38,43,80,17,2,28,48,147
254,Chris Richard,18,0,224,15,29,0,0,15,29,7,11,19,40,59,7,8,4,14,50,37
255,Chris Silva,95,0,715,85,141,2,5,83,136,79,109,100,152,252,49,11,35,69,175,251
256,Chris Singleton,148,62,2605,233,620,58,182,175,438,88,139,112,360,472,92,117,57,100,325,612
257,Chris Smith,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Chris Wilcox,180,50,2747,424,702,0,2,424,700,139,238,232,458,690,90,85,66,145,398,987
259,Chris Wright,35,1,316,45,82,0,1,45,81,30,46,29,36,65,9,14,18,14,39,120
260,Christian Braun,76,6,1181,143,289,34,96,109,193,40,64,48,133,181,59,41,17,35,101,360
261,Christian Eyenga,58,18,1151,142,356,27,97,115,259,26,44,35,116,151,45,40,38,53,92,337
262,Christian Koloko,58,19,802,72,150,1,12,71,138,37,59,84,87,171,31,21,57,20,128,182
263,Christian Wood,310,141,7237,1609,3105,389,1029,1220,2076,835,1201,438,1757,2195,428,174,272,454,582,4442
264,Chuck Hayes,437,157,7887,697,1460,0,7,697,1453,234,358,711,1365,2076,622,297,155,331,877,1628
265,Chucky Atkins,40,11,644,57,157,22,73,35,84,25,27,5,24,29,91,17,0,32,53,161
266,Chuma Okeke,142,47,3400,394,1021,193,598,201,423,101,126,115,509,624,256,164,75,112,183,1082
267,Cleanthony Early,56,9,801,88,254,26,99,62,155,39,52,26,97,123,42,26,15,49,73,241
268,Cliff Alexander,8,0,36,5,10,0,0,5,10,0,0,2,4,6,0,1,2,1,1,10
269,Clint Capela,536,473,14344,2899,4620,0,4,2899,4616,832,1560,1923,3817,5740,523,373,792,583,1288,6630
270,Coby Karl,14,2,226,22,64,4,22,18,42,8,12,8,28,36,30,6,2,20,28,56
271,Coby White,269,74,7235,1229,2932,560,1527,669,1405,369,432,89,819,908,883,170,38,409,555,3387
272,Cody Martin,178,24,3752,390,854,98,308,292,546,146,222,180,448,628,371,168,54,147,259,1024
273,Cody Zeller,509,275,11190,1623,3110,32,147,1591,2963,1022,1400,1019,1994,3013,701,323,325,536,1314,4300
274,Cole Aldrich,384,23,3777,479,905,0,0,479,905,192,264,364,887,1251,192,142,256,222,569,1150
275,Cole Anthony,172,103,4884,853,2074,265,769,588,1305,477,554,117,740,857,796,113,66,367,427,2448
276,Cole Swider,7,0,41,3,9,3,8,0,1,0,0,1,6,7,4,0,0,0,3,9
277,Collin Sexton,266,223,8324,1862,4016,373,982,1489,3034,944,1143,226,542,768,858,208,29,626,622,5041
278,Corey Brewer,1059,340,23239,3343,7818,656,2345,2687,5473,1574,2210,751,2063,2814,1577,1318,270,1189,2210,8916
279,Corey Kispert,151,81,3894,525,1099,275,704,250,395,129,150,86,330,416,172,67,31,105,190,1454
280,Corey Maggette,187,95,4620,876,1894,70,215,806,1679,945,1132,162,602,764,314,101,12,371,531,2767
281,Cory Higgins,44,0,455,58,179,5,25,53,154,43,62,8,30,38,41,8,6,39,45,164
282,Cory Jefferson,58,1,581,84,189,2,16,82,173,35,60,53,108,161,16,10,22,20,69,205
283,Cory Joseph,853,188,18834,2343,5269,518,1484,1825,3785,901,1141,425,1724,2149,2616,657,194,899,1419,6105
284,Coty Clarke,3,0,6,2,4,2,2,0,2,0,0,0,1,1,0,0,0,1,0,6
285,Courtney Fortson,20,0,190,22,64,6,26,16,38,20,30,12,18,30,20,6,0,20,10,70
286,Courtney Lee,926,594,24734,3356,7409,964,2522,2392,4887,1101,1291,413,1982,2395,1550,904,258,852,1475,8777
287,Craig Brackins,17,1,121,13,49,3,14,10,35,1,2,7,12,19,9,1,1,4,9,30
288,Craig Smith,170,2,2282,389,702,1,11,388,691,220,329,173,341,514,134,65,37,145,333,999
289,Craig Sword,3,0,19,3,4,0,1,3,3,0,0,0,0,0,1,4,0,1,7,6
290,Cristiano Felício,252,20,3554,431,754,0,14,431,740,216,321,381,611,992,183,72,50,155,358,1078
291,D'Angelo Russell,611,547,18537,3972,9227,1589,4337,2383,4890,1536,1933,306,1804,2110,3529,659,190,1715,1156,11069
292,D.J. Augustin,1231,359,28036,3660,8929,1589,4192,2071,4737,2406,2781,349,1871,2220,4670,710,42,1784,1630,11315
293,D.J. Kennedy,2,0,59,5,12,2,4,3,8,0,2,1,6,7,3,2,0,3,7,12
294,D.J. Mbenga,90,2,685,71,152,0,0,71,152,22,37,67,106,173,14,11,56,36,106,164
295,D.J. Stephens,4,0,22,4,9,0,0,4,9,1,1,1,4,5,0,1,0,1,0,9
296,D.J. White,178,11,2666,433,856,1,5,432,851,149,208,150,413,563,93,48,72,76,266,1016
297,D.J. Wilson,181,7,2236,312,750,126,381,186,369,80,127,100,464,564,131,51,59,101,219,830
298,DaJuan Summers,83,7,820,103,268,29,79,74,189,43,67,24,58,82,29,18,8,37,104,278
299,DaQuan Jeffries,78,10,1136,121,282,45,153,76,129,19,22,41,121,162,52,34,21,30,116,306
300,Daequan Cook,243,27,3160,371,1064,236,690,135,374,69,91,43,355,398,116,66,36,87,222,1047
301,Dahntay Jones,377,69,5742,681,1605,74,254,607,1351,536,687,126,505,631,347,131,71,284,694,1972
302,Dairis Bertāns,12,0,167,12,47,10,34,2,13,0,0,2,7,9,10,1,0,2,7,34
303,Daishen Nix,81,7,1175,108,304,47,166,61,138,40,66,25,106,131,172,46,7,112,80,303
304,Dakari Johnson,31,6,161,22,39,0,0,22,39,11,20,16,18,34,8,6,8,3,27,55
305,Dakota Mathias,14,2,139,21,54,10,32,11,22,2,6,1,8,9,14,2,3,1,8,54
306,Dalano Banton,95,3,975,138,332,28,102,110,230,43,68,49,120,169,135,41,23,71,102,347
307,Dalen Terry,38,0,214,32,72,7,27,25,45,14,21,12,25,37,22,11,5,8,24,85
308,Damian Jones,320,86,4536,618,934,34,82,584,852,314,441,350,700,1050,222,104,219,211,635,1584
309,Damian Lillard,769,769,27942,6281,14299,2387,6410,3894,7889,4427,4946,469,2784,3253,5151,732,239,2186,1477,19376
310,Damien Inglis,20,1,156,13,37,3,13,10,24,7,8,2,29,31,10,6,3,11,11,36
311,Damien Wilkins,272,55,4430,468,1066,48,163,420,903,261,352,154,406,560,320,161,66,181,406,1245
312,Damion James,39,17,623,61,147,0,6,61,141,28,42,25,106,131,26,23,20,38,56,150
313,Damion Lee,290,58,6043,828,1899,377,995,451,904,351,400,139,843,982,410,189,28,238,471,2384
314,Damjan Rudež,146,2,1638,175,413,106,284,69,129,24,31,18,74,92,84,31,7,69,143,480
315,Damyean Dotson,213,49,4242,603,1446,253,733,350,713,135,190,58,474,532,315,109,20,151,255,1594
316,Dan Gadzuric,118,24,1253,147,349,0,2,147,347,30,81,181,186,367,40,36,72,74,249,324
317,Daniel Gafford,301,129,5239,976,1390,0,1,976,1389,410,616,558,850,1408,231,128,404,261,651,2362
318,Daniel Gibson,204,35,4768,560,1423,300,744,260,679,228,292,53,358,411,429,129,48,192,391,1648
319,Daniel Hamilton,25,3,232,28,71,10,28,18,43,3,6,10,42,52,30,7,1,18,21,69
320,Daniel Ochefu,19,0,75,12,27,0,0,12,27,0,2,5,17,22,3,2,0,3,17,24
321,Daniel Orton,51,6,542,50,103,0,1,50,102,43,72,48,78,126,24,18,28,29,81,143
322,Daniel Oturu,33,0,188,25,58,1,6,24,52,12,17,22,31,53,10,4,9,9,25,63
323,Daniel Theis,425,226,8675,1340,2483,242,750,1098,1733,455,647,628,1487,2115,542,212,356,370,1100,3377
324,Danilo Gallinari,762,621,23472,3663,8591,1497,3953,2166,4638,3304,3777,547,3213,3760,1503,573,285,953,1401,12127
325,Danny Granger,320,213,9484,1721,4151,556,1518,1165,2633,1171,1364,318,1111,1429,585,284,194,593,737,5169
326,Danny Green,841,709,21019,2568,6094,1593,3982,975,2112,536,666,504,2335,2839,1282,858,637,835,1469,7265
327,Dante Cunningham,866,238,18074,2154,4613,275,807,1879,3806,449,689,978,2273,3251,597,552,409,436,1515,5032
328,Dante Exum,280,73,5030,565,1371,182,590,383,781,236,310,103,405,508,555,114,52,339,467,1548
329,Danuel House Jr.,302,110,6489,767,1785,397,1091,370,694,328,431,158,774,932,351,171,110,228,473,2259
330,Darington Hobson,5,0,39,2,13,0,6,2,7,0,0,0,3,3,6,0,0,2,1,4
331,Dario Šarić,551,270,12600,2055,4643,720,1986,1335,2657,932,1106,770,2187,2957,974,305,102,780,1135,5762
332,Darius Bazley,271,119,6000,838,2022,252,802,586,1220,361,550,220,1134,1354,313,154,204,311,271,2289
333,Darius Days,4,0,25,5,12,3,10,2,2,2,2,1,5,6,1,0,1,0,2,15
334,Darius Garland,250,246,8491,1706,3803,553,1428,1153,2375,667,766,117,532,649,1679,282,26,762,465,4632
335,Darius Johnson-Odom,7,0,21,0,11,0,4,0,7,0,2,1,5,6,2,1,0,2,3,0
336,Darius Miller,271,28,5358,545,1300,344,898,201,402,163,194,51,396,447,367,123,66,171,523,1597
337,Darius Morris,159,17,1777,205,528,59,184,146,344,68,107,47,105,152,233,58,2,139,160,537
338,Darius Songaila,85,1,1481,248,503,1,6,247,497,62,78,61,181,242,72,62,14,85,222,559
339,Darko Miličić,163,128,3533,530,1117,0,2,530,1115,110,208,262,498,760,215,107,233,255,453,1170
340,Darnell Jackson,115,2,732,95,218,5,19,90,199,38,61,67,71,138,22,16,11,49,103,233
341,Darrell Arthur,427,42,7481,1190,2674,161,456,1029,2218,319,409,439,983,1422,366,257,255,375,1028,2860
342,Darren Collison,711,518,20833,3272,6944,635,1613,2637,5331,1682,1973,332,1557,1889,3545,820,106,1383,1212,8861
343,Darrun Hilliard,91,3,859,104,276,31,102,73,174,56,75,7,78,85,71,22,3,51,74,295
344,Darryl Watkins,5,0,98,7,14,0,0,7,14,9,18,8,19,27,3,5,4,8,14,23
345,Daryl Macon,12,0,104,11,30,6,13,5,17,4,7,2,10,12,8,1,0,8,9,32
346,David Andersen,143,0,1637,259,582,43,124,216,458,74,111,94,282,376,70,25,30,81,199,635
347,David Duke Jr.,45,7,569,75,186,10,49,65,137,29,38,41,55,96,38,24,8,27,67,189
348,David Johnson,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
349,David Lee,597,381,17156,3525,6702,1,25,3524,6677,1473,1896,1448,3597,5045,1493,434,263,1130,1535,8524
350,David Nwaba,237,50,4583,603,1231,87,272,516,959,329,489,236,630,866,246,177,106,163,447,1622
351,David Roddy,70,4,1258,180,420,65,212,115,208,41,65,50,143,193,59,29,19,57,107,466
352,David Stockton,6,0,42,4,9,3,5,1,4,7,10,0,2,2,9,2,0,5,4,18
353,David Wear,2,0,7,0,2,0,1,0,1,0,0,2,0,2,1,0,0,0,1,0
354,David West,655,455,17384,3374,6694,32,122,3342,6572,1427,1787,993,2878,3871,1634,511,537,1044,1457,8207
355,Davion Mitchell,155,28,3523,533,1242,164,517,369,725,81,116,49,222,271,498,99,39,176,253,1311
356,Davon Reed,165,8,1641,164,417,84,220,80,197,50,75,38,233,271,115,65,19,67,161,462
357,Day'Ron Sharpe,80,11,943,179,320,8,18,171,302,59,96,180,180,360,54,25,47,72,149,425
358,De'Aaron Fox,395,380,12761,2951,6247,483,1506,2468,4741,1589,2159,209,1235,1444,2452,515,165,1081,1026,7974
359,De'Andre Hunter,206,200,6399,1033,2328,313,880,720,1448,481,602,133,723,856,318,134,68,283,595,2860
360,De'Anthony Melton,312,113,7003,991,2396,452,1221,539,1175,314,407,231,924,1155,857,435,154,439,626,2748
361,DeAndre Jordan,1083,860,28678,3992,5934,2,13,3990,5921,1882,3806,3289,7984,11273,1132,592,1574,1528,2696,9868
362,DeAndre Liggins,297,47,3408,224,569,79,221,145,348,72,127,74,361,435,224,192,59,148,363,599
363,DeAndre' Bembry,352,75,6696,844,1740,121,411,723,1329,225,369,227,886,1113,599,340,145,398,646,2034
364,DeJon Jarreau,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,DeJuan Blair,424,179,7054,1242,2371,0,9,1242,2362,381,627,810,1343,2153,349,316,127,471,1003,2865
366,DeMar DeRozan,1031,1019,35471,7790,16652,456,1566,7334,15086,5649,6725,742,3828,4570,4106,1018,316,2139,2348,21685
367,DeMarcus Cousins,815,651,23404,5488,11985,641,1908,4847,10077,3923,5287,1971,6020,7991,2458,1043,880,2567,2945,15540
368,DeMarre Carroll,638,348,14363,1878,4387,673,1891,1205,2496,925,1248,697,1873,2570,773,545,158,526,1201,5354
369,DeQuan Jones,63,17,803,95,218,9,35,86,183,34,51,17,88,105,16,19,22,30,55,233
370,DeSagana Diop,92,10,994,46,122,0,1,46,121,7,27,79,162,241,48,20,58,50,112,99
371,DeShawn Stevenson,307,151,5042,367,1090,249,777,118,313,104,152,67,444,511,282,101,27,146,347,1087
372,DeVaughn Akoon-Purcell,7,0,22,3,10,0,4,3,6,1,2,1,3,4,6,2,0,2,4,7
373,Dean Wade,170,60,3154,315,718,176,486,139,232,65,93,92,442,534,165,94,53,66,263,871
374,Deandre Ayton,303,296,9282,2213,3709,21,80,2192,3629,599,793,919,2233,3152,495,205,299,520,854,5046
375,Deividas Sirvydis,23,0,160,15,50,11,35,4,15,3,6,0,35,35,6,5,1,5,13,44
376,Dejounte Murray,394,323,10950,2240,4896,351,1048,1889,3848,677,863,376,1933,2309,1988,567,103,754,702,5508
377,Delon Wright,599,136,13245,1700,3751,431,1238,1269,2513,788,982,513,1520,2033,1966,755,225,601,683,4619
378,Delonte West,128,38,3013,415,916,64,186,351,730,190,227,48,259,307,399,133,49,196,182,1084
379,Demetrius Jackson,41,0,216,25,55,5,21,20,34,9,14,14,17,31,26,12,2,21,18,64
380,Deng Adel,19,3,194,11,36,6,23,5,13,4,4,3,16,19,5,1,4,6,13,32
381,Deni Avdija,212,80,5261,633,1470,204,659,429,811,254,346,148,1026,1174,441,156,88,243,539,1724
382,Dennis Horner,8,0,22,1,4,0,1,1,3,3,4,2,3,5,0,0,0,1,1,5
383,Dennis Schröder,751,346,20270,3869,8921,881,2611,2988,6310,1884,2250,321,1887,2208,3501,618,100,1734,1562,10503
384,Dennis Smith Jr.,346,209,8470,1413,3466,324,1063,1089,2403,517,780,206,807,1013,1507,399,131,745,723,3667
385,Denzel Valentine,280,45,5039,705,1794,380,1051,325,743,74,94,110,789,899,477,167,31,240,432,1864
386,Deonte Burton,73,0,602,76,209,18,81,58,128,16,26,11,74,85,26,13,18,28,65,186
387,Derek Fisher,437,268,10118,927,2466,359,990,568,1476,435,516,79,681,760,976,399,34,403,895,2648
388,Dereon Seabron,5,0,12,2,5,0,0,2,5,0,0,1,0,1,0,0,0,0,1,4
389,Deron Williams,664,603,22166,3703,8550,1042,2937,2661,5613,2338,2797,273,1854,2127,5155,676,156,1872,1639,10786
390,Derrick Brown,220,19,3130,428,818,18,51,410,767,206,333,208,304,512,152,109,42,144,267,1080
391,Derrick Byars,2,0,37,3,11,0,6,3,5,4,4,6,5,11,1,2,0,0,2,10
392,Derrick Caracter,41,0,215,32,66,0,0,32,66,17,23,19,24,43,7,4,10,19,47,81
393,Derrick Favors,868,530,20737,3635,6823,38,192,3597,6631,1579,2398,2104,3916,6020,890,606,1007,1072,2222,8887
394,Derrick Jones Jr.,364,105,6673,821,1629,164,547,657,1082,407,579,440,715,1155,240,217,243,187,682,2213
395,Derrick Rose,693,441,20354,4639,10222,616,1912,4023,8310,2070,2471,483,1644,2127,3426,518,245,1626,813,11964
396,Derrick Walton,71,5,751,50,129,30,78,20,51,24,28,8,50,58,91,28,7,23,57,154
397,Derrick White,420,281,11325,1739,3939,598,1743,1141,2196,960,1130,216,1202,1418,1693,323,337,570,917,5036
398,Derrick Williams,556,138,11488,1643,3790,307,1034,1336,2756,1144,1615,441,1705,2146,377,261,135,503,706,4737
399,Desmond Bane,202,151,5626,1192,2539,511,1201,681,1338,361,409,120,715,835,580,189,67,296,471,3256
400,Desmond Mason,5,4,66,5,12,0,0,5,12,3,4,4,9,13,2,1,1,4,5,13
401,Devean George,45,4,761,89,206,48,123,41,83,16,23,21,93,114,32,41,10,15,89,242
402,Devin Booker,530,505,17907,4453,9665,1089,3055,3364,6610,2693,3102,292,1813,2105,2521,449,146,1637,1568,12688
403,Devin Brown,100,74,2120,272,722,116,328,156,394,138,172,58,190,248,130,66,12,124,144,798
404,Devin Cannady,13,0,219,26,72,21,53,5,19,11,14,1,10,11,11,10,4,7,18,84
405,Devin Ebanks,63,15,711,82,213,8,36,74,177,52,72,51,71,122,24,18,12,35,56,224
406,Devin Harris,782,305,18512,2601,6243,786,2376,1815,3867,2064,2573,162,1458,1620,3037,685,134,1280,1636,8052
407,Devin Robinson,8,0,108,20,35,0,2,20,33,9,14,8,17,25,6,5,6,2,13,49
408,Devin Vassell,171,71,4171,710,1662,292,796,418,866,204,250,76,552,628,328,162,76,137,288,1916
409,Devon Dotson,28,0,188,23,54,4,20,19,34,5,9,9,15,24,30,10,0,8,23,55
410,Devon Hall,11,0,81,6,30,4,17,2,13,4,8,2,5,7,13,4,1,5,6,20
411,Devontae Cacok,36,1,228,41,66,0,0,41,66,9,18,22,57,79,8,13,11,8,24,91
412,Devonte' Graham,386,179,9384,1312,3525,861,2422,451,1103,673,839,149,695,844,1595,294,67,506,493,4158
413,Devyn Marble,44,7,457,35,115,12,54,23,61,15,40,11,58,69,29,22,3,16,39,97
414,Dewan Hernandez,6,0,28,5,14,1,2,4,12,3,5,5,9,14,3,1,0,3,6,14
415,Dewayne Dedmon,628,235,10486,1504,2934,221,703,1283,2231,578,793,916,2564,3480,411,299,491,597,1564,3807
416,Dexter Pittman,61,6,379,53,120,0,0,53,120,18,36,45,56,101,9,8,8,25,91,124
417,Deyonta Davis,107,6,1299,200,334,0,1,200,333,54,85,105,241,346,47,21,61,43,177,454
418,Diamond Stone,7,0,24,3,13,0,0,3,13,4,4,1,5,6,0,0,1,2,5,10
419,Diante Garrett,90,0,1197,117,314,39,111,78,203,15,22,16,96,112,151,51,5,91,80,288
420,Didi Louzada,21,2,314,27,79,20,54,7,25,4,4,11,26,37,13,6,4,13,31,78
421,Dillon Brooks,345,318,9888,1875,4510,573,1675,1302,2835,679,854,253,820,1073,735,325,98,540,1143,5002
422,Dion Waiters,509,234,14250,2522,6155,663,1953,1859,4202,849,1223,209,1115,1324,1346,485,140,890,989,6556
423,Dionte Christmas,31,0,198,22,62,9,31,13,31,18,24,13,25,38,8,2,3,6,19,71
424,Dirk Nowitzki,683,645,20676,4541,9696,902,2354,3639,7342,2492,2792,399,3908,4307,1404,434,424,876,1423,12476
425,Domantas Sabonis,556,415,16678,3350,6078,251,775,3099,5303,1691,2308,1389,4151,5540,2389,433,250,1383,1742,8642
426,Dominic McGuire,270,38,3275,252,608,0,6,252,602,75,126,220,539,759,215,90,99,139,346,579
427,Dominick Barlow,28,0,408,46,86,0,4,46,82,18,25,46,56,102,24,10,19,15,56,110
428,Dominique Jones,80,4,741,83,227,2,21,81,206,78,107,33,81,114,144,29,10,76,64,246
429,Donald Sloan,274,77,4681,555,1374,107,360,448,1014,236,311,75,475,550,794,101,11,293,247,1453
430,Donatas Motiejūnas,251,101,4566,731,1558,121,404,610,1154,249,417,298,654,952,269,118,82,287,538,1832
431,Donovan Mitchell,413,405,14069,3632,8103,1203,3292,2429,4811,1689,2012,332,1390,1722,1843,544,126,1144,1042,10156
432,Donovan Williams,2,0,4,2,5,0,2,2,3,0,0,0,2,2,0,0,0,0,0,4
433,Donta Hall,31,0,445,55,79,0,0,55,79,41,70,52,86,138,19,11,22,18,64,151
434,Donte DiVincenzo,315,128,7650,1006,2449,534,1490,472,959,321,406,323,1105,1428,876,363,67,456,534,2867
435,Donte Grantham,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Donté Greene,198,78,3534,508,1205,139,442,369,763,177,260,121,393,514,153,95,102,185,305,1332
437,Dorell Wright,410,167,9652,1321,3177,605,1636,716,1541,527,647,283,1265,1548,682,339,183,358,577,3774
438,Dorian Finney-Smith,526,414,14778,1579,3664,788,2228,791,1436,385,529,808,1616,2424,754,426,240,461,1141,4331
439,Doron Lamb,147,0,1849,183,486,64,164,119,322,69,104,24,117,141,107,37,1,79,158,499
440,Doug McDermott,738,103,15602,2534,5383,1015,2488,1519,2895,639,785,308,1446,1754,724,158,80,496,1093,6722
441,Dragan Bender,203,70,4041,414,1026,198,610,216,416,95,144,129,664,793,265,58,115,223,414,1121
442,Draymond Green,758,608,21809,2430,5418,611,1943,1819,3475,1106,1554,814,4462,5276,4233,1029,771,1718,2151,6577
443,Drew Eubanks,319,96,5214,830,1374,20,67,810,1307,389,530,500,1042,1542,337,127,253,303,549,2069
444,Drew Gooden,350,137,7554,1258,2806,59,213,1199,2593,707,843,767,1371,2138,368,193,201,438,803,3282
445,Drew Gordon,9,0,71,8,19,0,3,8,16,1,2,7,11,18,2,1,0,8,7,17
446,Dru Smith,30,2,316,36,90,10,38,26,52,6,6,4,44,48,44,20,8,6,46,88
447,Duane Washington Jr.,79,10,1362,267,683,121,326,146,357,62,85,6,113,119,148,32,7,91,89,717
448,Duje Dukan,1,0,24,2,10,2,5,0,5,0,0,2,2,4,1,1,0,0,2,6
449,Duncan Robinson,281,210,7323,1034,2413,825,2070,209,343,213,246,51,722,773,409,139,53,243,663,3106
450,Dusty Hannahs,4,0,39,7,21,2,8,5,13,4,4,0,2,2,5,1,0,1,2,20
451,Dwayne Bacon,207,80,4012,571,1419,127,404,444,1015,234,300,58,479,537,230,96,14,124,273,1503
452,Dwayne Jones,2,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0
453,Dwight Buycks,49,0,696,115,286,27,73,88,213,53,60,18,58,76,83,30,2,61,53,310
454,Dwight Howard,835,672,24834,4562,7632,21,91,4541,7541,3305,6032,2678,6842,9520,1096,718,1414,2100,2614,12450
455,Dwight Powell,616,243,11414,1679,2816,124,425,1555,2391,1040,1403,965,1748,2713,602,381,274,427,1386,4522
456,Dwyane Wade,727,526,22384,5288,11132,408,1377,4880,9755,3024,4002,821,2439,3260,3304,961,553,1969,1433,14008
457,Dylan Windler,84,0,982,96,231,48,149,48,82,36,45,41,155,196,68,34,15,49,84,276
458,Dyson Daniels,59,11,1042,87,208,27,86,60,122,26,40,36,152,188,134,43,11,57,99,227
459,Dāvis Bertāns,488,40,8678,1193,2851,886,2264,307,587,410,475,150,1065,1215,444,196,167,251,799,3682
460,Džanan Musa,49,0,526,73,194,20,88,53,106,45,62,22,69,91,45,17,1,40,31,211
461,E'Twaun Moore,598,191,12564,1927,4236,556,1432,1371,2804,333,449,282,926,1208,1055,395,131,534,946,4743
462,Earl Barron,91,25,1312,144,411,2,4,142,407,64,103,154,226,380,45,34,30,70,195,354
463,Earl Boykins,132,1,2090,340,791,48,140,292,651,159,186,32,109,141,329,63,6,128,96,887
464,Earl Clark,357,71,4862,618,1544,123,377,495,1167,199,307,254,768,1022,161,108,179,234,435,1558
465,Earl Watson,281,71,5912,443,1122,106,378,337,744,227,326,164,481,645,1112,264,64,462,559,1219
466,Ed Davis,803,134,15387,2033,3610,0,4,2033,3606,848,1444,1742,3334,5076,602,387,651,595,1940,4914
467,Eddie House,192,1,3412,474,1231,226,629,248,602,134,144,35,275,310,232,112,17,123,230,1308
468,Eddy Curry,23,1,170,24,55,0,0,24,55,17,29,10,19,29,1,0,3,26,37,65
469,Edmond Sumner,161,41,2256,356,758,87,255,269,503,198,244,51,193,244,182,91,34,133,242,997
470,Eduardo Nájera,145,10,2012,174,428,57,191,117,237,36,63,93,231,324,90,82,38,70,280,441
471,Edwin Ubiles,4,0,52,5,18,1,5,4,13,3,3,2,8,10,1,1,1,1,1,14
472,Edy Tavares,15,0,129,19,29,0,0,19,29,3,14,15,28,43,5,1,18,9,14,41
473,Ekpe Udoh,445,67,6984,646,1440,0,6,646,1434,401,553,556,798,1354,317,217,531,275,888,1693
474,Elfrid Payton,563,458,15191,2415,5333,220,754,2195,4579,783,1250,587,1694,2281,3261,671,173,1252,1147,5833
475,Elias Harris,2,0,11,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
476,Elie Okobo,108,19,1677,186,471,64,203,122,268,87,118,28,160,188,242,56,11,107,163,523
477,Elijah Bryant,1,0,32,6,13,1,5,5,8,3,3,2,4,6,3,0,1,4,4,16
478,Elijah Hughes,90,8,932,104,318,58,213,46,105,17,22,13,112,125,50,29,17,40,79,283
479,Elijah Millsap,69,5,1120,93,284,29,104,64,180,72,106,37,154,191,78,63,19,78,159,287
480,Elliot Williams,122,2,1589,207,495,62,192,145,303,98,149,38,131,169,106,49,6,82,170,574
481,Elton Brand,415,236,10490,1679,3397,0,8,1679,3389,617,841,825,1695,2520,510,348,494,443,1122,3975
482,Emanuel Terry,9,0,64,8,19,0,0,8,19,4,8,14,15,29,6,7,0,9,12,20
483,Emeka Okafor,286,277,7843,1138,2176,0,1,1138,2175,464,819,797,1654,2451,222,163,382,387,696,2740
484,Emmanuel Mudiay,366,179,8432,1426,3577,323,1003,1103,2574,677,907,164,872,1036,1349,256,99,783,572,3852
485,Enes Freedom,890,364,19876,4283,7865,72,238,4211,7627,1789,2299,2757,4395,7152,809,364,418,1339,1962,10427
486,Eric Bledsoe,830,642,23343,4157,9158,979,2905,3178,6253,2368,3015,621,2600,3221,3915,1177,386,2104,1678,11661
487,Eric Dawson,4,0,39,7,12,0,0,7,12,1,2,5,5,10,0,1,2,3,6,15
488,Eric Gordon,809,621,25511,4340,10144,1879,5087,2461,5057,2164,2685,285,1593,1878,2272,649,273,1515,1405,12723
489,Eric Maynor,443,4,6455,732,1872,179,521,553,1351,253,353,106,456,562,1260,182,34,474,483,1896
490,Eric Mika,1,0,19,2,3,0,0,2,3,2,2,2,5,7,0,0,0,0,5,6
491,Eric Moreland,88,3,941,76,143,2,2,74,141,13,33,92,238,330,87,33,57,55,139,167
492,Eric Paschall,158,31,3086,580,1173,95,291,485,882,297,392,140,369,509,214,53,25,164,244,1552
493,Erick Dampier,121,69,2178,186,310,1,4,185,306,85,145,191,411,602,57,30,128,96,244,458
494,Erick Green,61,1,494,71,188,16,57,55,131,14,16,13,30,43,45,14,0,14,34,172
495,Erik McCree,4,0,8,0,2,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
496,Erik Murphy,24,0,62,3,13,0,3,3,10,0,0,2,6,8,2,0,4,2,7,6
497,Ersan İlyasova,984,561,23736,3925,8848,1158,3175,2767,5673,1542,1997,1716,4045,5761,1157,704,358,999,2386,10550
498,Etan Thomas,36,1,403,41,89,0,0,41,89,25,37,24,63,87,3,5,20,23,50,107
499,Eugene Jeter,62,1,858,106,259,6,30,100,229,37,41,9,61,70,162,29,2,51,54,255
500,Eugene Omoruyi,84,12,1308,204,461,51,180,153,281,104,154,88,141,229,58,56,6,68,184,563
501,Evan Fournier,714,540,20193,3615,8143,1443,3784,2172,4359,1433,1795,282,1666,1948,1855,633,120,1135,1696,10106
502,Evan Mobley,148,148,5046,947,1777,45,194,902,1583,372,556,330,951,1281,398,116,234,279,365,2311
503,Evan Turner,786,351,21395,3182,7352,320,1073,2862,6279,1271,1615,450,3236,3686,2724,599,191,1456,1575,7955
504,Fab Melo,6,0,36,3,6,0,0,3,6,1,4,0,3,3,0,2,2,1,7,7
505,Fabricio Oberto,62,20,695,38,61,0,0,38,61,14,19,37,75,112,51,11,9,39,131,90
506,Facundo Campazzo,138,23,2661,230,624,137,420,93,204,141,171,45,208,253,461,148,37,143,259,738
