,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1458,Steven Hunter,21,0,158,17,43,0,0,17,43,19,36,18,24,42,0,1,10,9,10,53
1459,Sundiata Gaines,137,12,1612,224,563,53,184,171,379,118,214,59,154,213,249,99,4,120,125,619
1460,Svi Mykhailiuk,392,76,6445,919,2277,508,1423,411,854,241,325,133,567,700,551,227,42,359,363,2587
1461,T.J. Ford,102,35,2153,296,697,16,90,280,607,150,197,61,187,248,366,88,21,176,194,758
1462,T.J. Leaf,146,2,1238,204,415,31,91,173,324,38,65,95,188,283,43,26,28,32,103,477
1463,T.J. McConnell,556,92,12215,1753,3446,139,405,1614,3041,304,388,305,1365,1670,2801,694,104,909,824,3949
1464,T.J. Warren,416,236,10927,2388,4731,291,826,2097,3905,703,900,501,1113,1614,477,371,192,381,921,5770
1465,Tacko Fall,37,1,228,37,55,0,0,37,55,8,25,24,66,90,6,2,30,12,32,82
1466,Tahjere McCall,1,0,8,2,3,0,1,2,2,0,1,0,1,1,0,0,0,0,2,4
1467,Taj Gibson,1023,520,24445,3781,7305,55,208,3726,7097,1485,2083,2228,3827,6055,987,559,1004,1120,2503,9102
